# Chill Mix — raw OCR from 22 iCloud screenshots (IMG_4712–4733), 2026-07-07
# Format: Title | Artist | Duration   (order = scroll order; dedupe already applied)
# FLAG lines = stylized/non-Latin titles I could not OCR reliably (mostly Lapgan/Khmer script) — resolve via library match.

Olson | Boards of Canada | 1:32
Bless (Instrumental) | The Alchemist | 3:00
Time: The Donut of the Heart | J Dilla | 1:39
Actium | Aphex Twin | 7:35
I Can See | Nick Hakim | 5:45
ItsNotREEAALLLLLLL | Fred again.., Duoteque, Orion Sun | 5:28
Happiness | Peter Cat Recording Co. | 3:44
Not Screwed! (interlude) | Solange | 0:23
New House | Toro y Moi | 2:31
flowers | Nujabes | 4:00
Here for the summer | Chris Stussy | 4:20
20,000 STEPS | Sean Leon, God's Algorithm | 1:51
Hustle and Opulence in America | Anish Kumar | 3:08
EGONOMICS | IGWE AKA | 1:34
Bye. | J Dilla | 1:28
Welcome To The Show | J Dilla | 1:12
Madonna (unerthed) | Toro y Moi | 2:47
Fingerbib | Aphex Twin | 3:49
Peaceland | Nujabes | 8:20
Vivid Light | Blood Orange | 4:23
Mango (Freestyle / Process) | orion sun, Mulch | 4:51
Portrait of a Time | Peter Cat Recording Co. | 5:53
Troop | Peggy Gou | 5:54
20190724 | Mac DeMarco | 1:11
ten | Fred again.., Jozzy | 3:02
Lavender Buds | MF DOOM | 3:06
Knight (Instrumental) (feat. Domo Genesis) | Earl Sweatshirt | 3:14
The Rest Is Noise | Jamie xx | 4:58
Chasing the Drum | Yussef Dayes | 5:41
Memory Box | Peter Cat Recording Co. | 8:04
São Paulo' Interlude | Venna | 1:11
Re-Entry | Sampha | 5:14
Life We Live (feat. Namond Lumpkin) | Project Pat | 4:15
Baby | Four Tet | 4:25
A Moment 4 Jazz | Larry Lovestein & The Velvet Revival | 3:xx
Empty Words | Bowery Electric | 3:46
They Say (Instrumental) [feat. Kanye West] | Common | 4:05
U-Love | J Dilla | 1:01
21c | Peter Cat Recording Co. | 4:34
Masterpiece | SAULT | 5:45
Lemon Grass | MF DOOM | 2:35
Every Single Weekend (feat. Jamie xx) | The Avalanches | 2:11
BOY IN RED | Isaiah Rashad, SZA | 3:10
I've Seen The Light / Inside Of Clouds | N.E.R.D. | 4:26
Summer Madness | Khruangbin | 3:22
Ordinary Pleasure | Toro y Moi | 3:04
Licorice | MF DOOM | 3:06
Reality Surf | Bladee | 2:04
Real Nice Moment | KNOWER | 4:31
Bistro | Madlib, MF Doom | 1:08
Love Is Everywhere | Pharoah Sanders | 5:19
GLOWED UP (feat. Anderson .Paak) | KAYTRANADA | 4:59
So We Won't Forget | Khruangbin | 4:59
Moment In Time | The Pharcyde | 2:45
Last Cigarette | Shigeru Suzuki | 4:48
Oh! Tengo Suerte | Masayoshi Takanaka | 4:13
All That We Perceive | Thievery Corporation | 3:47
Sleep on the Left Side | Cornershop | 4:06
Fluffy | Himiko Kikuchi | 4:58
Binz | Solange | 1:52
Snoopy | Loukeman | 2:00
Jaguar | Action Bronson | 2:56
Eternal Summer | The Strokes | 6:16
We Give Thanks | Kokoroko | 3:41
Ants To You, Gods To Who ? | André 3000 | 6:43
drip bounce _ 7_24_18 | Toro y Moi | 2:35
Foolmuse | Peter Cat Recording Co. | 4:21
The Hillbillies | Baby Keem, Kendrick Lamar | 3:25
Far Nearer | Jamie xx | 6:51
Orange Moon | Erykah Badu | 7:10
双子の美人秘書 | yes,mama ok? | 5:54
Abraka | The Funkees | 4:27
Beat Goes On | The Internet | 4:17
Things I Imagined | Solange | 2:00
Ti-de | Kokoroko | 6:13
Jazz Club After Hours | Barry Can't Swim | 4:55
easy breezy | Yaeji | 3:20
Life Goes On | Chihiro Yamanaka | 4:43
Home | LCD Soundsystem | 7:54
Jen High | Peggy Gou | 6:28
Sixteens | MIKE | 2:01
Drip Sweat (feat. Channel Tres) | KAYTRANADA | 2:28
KADRI | OAFF, Prasant Radhakrishnan | 2:30
Skurrr | MIKE, Tony Seltzer | 1:48
oh baby | LCD Soundsystem | 5:50
Nanā | Polo & Pan | 3:11
Desirée | Blood Orange | 3:01
linknb | Kelela | 1:56
SUN CAME OUT | Gunna | 2:17
Nazar | Darzi | 4:58
man in the mirror | MIKE | 1:52
Sweetie | Kokoroko | 4:05
Lotus Blossom | LAUSSE THE CAT | 7:57
Coma | Caroline Polachek | 5:45
Home | Kokoroko | 2:08
Place To Be | Nick Drake | 2:41
S'Cooled | Blood Orange | 3:11
Woo | Erykah Badu | 3:15
Love Is Everywhere | Magdalena Bay | 3:15
# now-playing bar (present in every shot, likely also saved):
It's Indian Tobacco My Friend | Cornershop | ?
